Code,Density_Plants_Hectare,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Product_1_Application_Date,Product_2_Application_Date,Product_3_Application_Date,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag,Total_N_Applied,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Boron_Applied,Total_Iron_Applied,Total_Manganese_Applied,Total_Magnesium_Applied,Total_Calcium_Applied,Total_Sulfur_Applied,Total_Herbicides_Applied,Total_Organic_Acids_Applied,Total_Micronutrients_Other,Previous_Year_Crop_Caña De Azúcar,Previous_Year_Crop_Descanso,Previous_Year_Crop_Frijol,Previous_Year_Crop_Other_Rare,Previous_Year_Crop_Unknown,"Previous_Year_Crop_Yuca, Mandioca, Tapioca",Irrigation_Type_-1,Irrigation_Type_Aspersor,Irrigation_Type_Aspersor-Superficie,Irrigation_Type_Otro,Irrigation_Type_Superficie,Soil_Type_Arcillo-limoso,Soil_Type_Arcilloso,Soil_Type_Franco,Soil_Type_Franco-arcillo-arenoso,Soil_Type_Franco-arcilloso,Soil_Type_Unknown,Product_1_Type_-1,Product_1_Type_Fertilizante sintético,Product_1_Type_Otras practicas,Product_2_Type_-1,Product_2_Type_Fertilizante sintético,Product_2_Type_Herbicida,Product_3_Type_-1,Product_3_Type_Fertilizante sintético,Product_3_Type_Herbicida,Target_Crop_Grouped
AZM03Y,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM03Z,190000.0,2,1,0,19751,19751,19751,0,0,0,0,0,1,3,2,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM040,2000.0,-1,-1,-1,19751,19751,19751,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM041,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,1,3,2,3,5,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM042,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM043,2000.0,-1,-1,-1,19751,19751,19751,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM044,10000.0,1,0,0,19750,19751,19751,0,0,0,1,1,1,1,1,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
AZM045,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM046,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM047,160000.0,2,1,0,19751,19751,19751,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
