Code,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_N_Applied,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Boron_Applied,Total_Iron_Applied,Total_Manganese_Applied,Total_Magnesium_Applied,Total_Calcium_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Descanso,Previous_Year_Crop_Frijol,Irrigation_Type_Aspersor-Superficie,Irrigation_Type_Superficie,Soil_Type_Arcilloso,Soil_Type_Franco-arcilloso,Soil_Type_Unknown,Product_1_Type_Fertilizante sintético,Product_2_Type_Fertilizante sintético,Product_3_Type_Fertilizante sintético,Target_Crop_Grouped
AZM03Y,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM03Z,1,1,0,1,3,2,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
AZM040,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM041,1,0,0,1,3,2,3,5,0,0,3,2,0,0,1,0,1,1,0,0,1,1,1,3
AZM042,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM043,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM044,0,0,0,1,1,1,1,0,1,1,0,0,3,1,0,0,1,1,0,0,1,0,0,1
AZM045,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM046,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM047,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
AZM048,1,0,0,2,3,1,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
AZM049,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM04A,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM04B,1,0,0,6,4,2,2,0,2,2,0,0,8,1,0,1,0,0,0,0,1,1,0,1
AZM04C,1,1,-1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,3
AZM04D,1,0,0,4,2,2,2,0,2,2,0,0,8,1,0,1,0,0,0,0,1,1,0,1
AZM04E,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
AZM04F,1,0,0,4,2,2,2,0,2,2,0,0,8,1,0,1,0,0,0,0,1,1,0,1
AZM04G,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
AZM04I,0,0,0,5,3,2,2,0,2,2,0,0,8,1,0,0,1,0,1,0,1,1,0,1
AZM04J,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
AZM04K,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM04L,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
AZM04M,1,0,0,5,2,2,2,0,2,2,0,0,8,1,0,1,0,0,1,0,1,1,0,1
AZM04N,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM04O,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM04P,0,0,0,2,1,2,1,0,1,1,0,0,4,1,0,0,1,1,0,0,1,0,0,1
AZM04R,1,0,0,2,1,1,1,0,1,1,0,0,4,1,0,1,0,1,0,0,1,0,0,1
AZM04S,1,0,0,6,4,2,2,0,2,2,0,0,8,1,0,1,0,0,0,0,1,1,0,1
AZM04T,1,0,0,5,1,2,2,2,2,2,0,0,8,1,0,1,0,0,1,0,1,1,0,1
AZM04U,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM04V,1,0,0,2,3,1,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
AZM04X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
AZM04Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
AZM04Z,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM051,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM052,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM053,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM054,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM055,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM056,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
AZM057,1,0,-1,0,1,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
AZM058,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1
AZM059,1,0,0,5,1,0,2,2,2,0,0,0,6,0,0,0,1,0,1,0,1,1,0,1
AZM05A,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM05B,1,0,-1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
AZM05C,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM05E,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM05F,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
