Unnamed: 0,Density_Plants_Hectare,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Product_1_Application_Date,Product_2_Application_Date,Product_3_Application_Date,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag,Total_N_Applied,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Boron_Applied,Total_Iron_Applied,Total_Manganese_Applied,Total_Magnesium_Applied,Total_Calcium_Applied,Total_Sulfur_Applied,Total_Herbicides_Applied,Total_Organic_Acids_Applied,Total_Micronutrients_Other,Crop_Variety_Arroz_Mejoramiento,Crop_Variety_Arroz_Unknown,Crop_Variety_Caña de azúcar_CC011940,Crop_Variety_Caña de azúcar_Mezcla,Crop_Variety_Clitoria_9336 & 17768,Crop_Variety_Crotalaria_9336,Crop_Variety_Crotalaria_Crotalaria Juncea,Crop_Variety_Forrajes_Brachiaria brizantha CIAT 26110,Crop_Variety_Forrajes_Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,Crop_Variety_Forrajes_Urochloa humidicola cv. Tully (CIAT 679),Crop_Variety_Forrajes_Urochloa humidicola cv. Tully (CIAT 679) + Canavalia,Crop_Variety_Frijol_Mas de 100,Crop_Variety_Frijol_Más de 100,Crop_Variety_Maíz_Diferente Hibridos Experimentales(500),Crop_Variety_Maíz_Hibrido,Crop_Variety_Maíz_Maíz biofortificado (SGBIOH2),Crop_Variety_Suelo Desnudo_Suelo desnudo,"Crop_Variety_Yuca, Mandioca, Tapioca_Multiples variedades",Previous_Year_Crop_Arroz,Previous_Year_Crop_Caña De Azúcar,Previous_Year_Crop_Crotalaria,Previous_Year_Crop_Descanso,Previous_Year_Crop_Frijol,Previous_Year_Crop_Maíz,Previous_Year_Crop_Unknown,"Previous_Year_Crop_Yuca, Mandioca, Tapioca",Irrigation_Type_-1,Irrigation_Type_Aspersor,Irrigation_Type_Aspersor-Superficie,Irrigation_Type_Otro,Irrigation_Type_Superficie,Soil_Type_Arcillo-limoso,Soil_Type_Arcilloso,Soil_Type_Franco,Soil_Type_Franco-arcillo-arenoso,Soil_Type_Franco-arcilloso,Soil_Type_Unknown,Product_1_Type_-1,Product_1_Type_Fertilizante sintético,Product_1_Type_Otras practicas,Product_2_Type_-1,Product_2_Type_Fertilizante sintético,Product_2_Type_Herbicida,Product_3_Type_-1,Product_3_Type_Fertilizante sintético,Product_3_Type_Herbicida
0,0.0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1,190000.0,2,1,0,349,342,333,0,0,0,0,0,1,3,2,3,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2,2000.0,-1,-1,-1,-1,-1,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3,190000.0,2,0,0,-1,-1,-1,0,0,0,0,0,1,3,2,3,5,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
4,0.0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
5,2000.0,-1,-1,-1,-1,-1,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
6,10000.0,1,0,0,421,-1,-1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7,0.0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
8,0.0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
9,160000.0,2,1,0,-1,-1,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
