iter	Passed	Remaining
0	1	1909
1	2	1477
2	3	1102
3	4	998
4	4	929
5	5	831
6	5	762
7	6	751
8	6	704
9	6	668
10	7	638
11	7	635
12	8	610
13	8	611
14	8	590
15	9	590
16	10	593
17	10	576
18	10	562
19	11	543
20	11	532
21	12	536
22	12	539
23	12	528
24	13	519
25	14	525
26	14	528
27	15	531
28	15	523
29	16	525
30	16	528
31	17	529
32	17	519
33	18	523
34	18	516
35	19	510
36	19	503
37	19	505
38	20	499
39	20	500
40	21	501
41	22	502
42	22	496
43	22	498
44	23	493
45	23	488
46	24	490
47	24	482
48	24	478
49	24	474
50	25	475
51	26	476
52	26	477
53	26	472
54	27	468
55	27	470
56	28	466
57	28	462
58	29	463
59	29	464
60	29	461
61	30	457
62	30	458
63	31	455
64	31	452
65	32	454
66	32	451
67	33	453
68	33	451
69	33	448
70	34	450
71	35	452
72	35	454
73	36	462
74	37	462
75	38	464
76	38	461
77	38	458
78	39	455
79	39	452
80	39	450
81	39	447
82	40	445
83	40	443
84	40	440
85	41	441
86	41	438
87	42	439
88	42	436
89	43	434
90	43	436
91	43	433
92	44	431
93	44	429
94	44	427
95	45	425
96	45	424
97	45	422
98	46	420
99	46	418
100	46	416
101	47	414
102	47	413
103	47	412
104	48	410
105	48	408
106	48	407
107	49	405
108	49	404
109	49	402
110	50	401
111	50	400
112	50	398
113	51	397
114	51	395
115	51	394
116	52	392
117	52	391
118	52	389
119	52	388
120	53	389
121	53	386
122	54	385
123	54	384
124	54	382
125	54	381
126	55	380
127	55	379
128	55	377
129	56	376
130	56	375
131	56	374
132	57	372
133	57	371
134	57	370
135	58	369
136	58	369
137	59	368
138	59	367
139	59	366
140	59	365
141	60	364
142	60	363
143	61	363
144	61	362
145	61	361
146	62	362
147	62	361
148	63	360
149	63	359
150	63	358
151	64	357
152	64	356
153	64	355
154	65	357
155	66	360
156	66	359
157	67	358
158	67	356
159	67	355
160	67	354
161	68	353
162	68	352
163	68	350
164	69	349
165	69	348
166	69	347
167	70	346
168	70	345
169	70	344
170	70	343
171	71	342
172	71	341
173	71	340
174	72	340
175	72	339
176	72	338
177	73	337
178	73	336
179	73	335
180	73	334
181	74	333
182	74	332
183	74	331
184	75	331
185	76	333
186	76	332
187	76	332
188	77	331
189	77	330
190	77	329
191	78	328
192	78	328
193	78	327
194	79	327
195	79	326
196	80	326
197	80	325
198	80	324
199	80	323
200	81	323
201	81	322
202	82	323
203	82	322
204	82	321
205	83	320
206	83	320
207	83	319
208	84	318
209	84	317
210	84	317
211	85	316
212	85	315
213	85	314
214	86	315
215	86	315
216	87	314
217	87	314
218	87	313
219	88	312
220	88	311
221	88	311
222	89	310
223	89	309
224	89	309
225	90	308
226	90	308
227	90	307
228	91	306
229	91	305
230	91	305
231	92	304
232	92	303
233	92	303
234	92	302
235	93	301
236	93	301
237	93	300
238	94	299
239	94	299
240	94	298
241	95	298
242	95	297
243	95	296
244	96	296
245	96	295
246	96	295
247	97	294
248	97	293
249	97	293
250	98	292
251	98	291
252	98	292
253	99	291
254	99	290
255	99	290
256	100	289
257	100	288
258	100	288
259	101	287
260	101	287
261	102	287
262	102	286
263	102	286
264	102	285
265	103	285
266	103	284
267	104	284
268	104	283
269	104	283
270	104	282
271	105	281
272	105	281
273	106	281
274	106	280
275	106	280
276	107	279
277	108	281
278	108	280
279	109	281
280	109	280
281	110	280
282	110	279
283	110	279
