Model,Accuracy,Balanced Accuracy,F1 Score,Precision,Recall
Ridge Classifier,0.9411764705882353,0.9365079365079365,0.941631177357821,0.9502262443438914,0.9411764705882353
Random Forest,0.8823529411764706,0.865079365079365,0.8785055774675152,0.9137254901960784,0.8823529411764706
Gradient Boosting,0.8823529411764706,0.865079365079365,0.8785055774675152,0.9137254901960784,0.8823529411764706
Bagging,0.8823529411764706,0.865079365079365,0.8785055774675152,0.9137254901960784,0.8823529411764706
SVC,0.8529411764705882,0.8423520923520923,0.8550173010380623,0.873868778280543,0.8529411764705882
Logistic Regression,0.8529411764705882,0.8423520923520923,0.8528985507246377,0.8651960784313726,0.8529411764705882
Linear SVC,0.8529411764705882,0.8582251082251081,0.8519607843137256,0.873868778280543,0.8529411764705882
Extra Trees,0.8529411764705882,0.8423520923520923,0.8498479605746043,0.881827731092437,0.8529411764705882
XGBoost,0.8529411764705882,0.8293650793650793,0.8421632705369729,0.8988970588235294,0.8529411764705882
Decision Tree,0.8235294117647058,0.8196248196248196,0.8211722488038277,0.8475113122171944,0.8235294117647058
Gaussian NB,0.7058823529411765,0.7467532467532467,0.6748366013071895,0.7042186571598337,0.7058823529411765
K-Neighbors,0.6470588235294118,0.6291486291486292,0.6341503267973856,0.745475113122172,0.6470588235294118
AdaBoost,0.38235294117647056,0.39285714285714285,0.2719045660222131,0.2852941176470588,0.38235294117647056
