Code,Nitrosocosmicus sp.,Udaeobacter sp.,Gemmata sp.,Humicola olivacea,Aspergillus terreus,Ilumatobacter sp.,Talaromyces marneffei,Scytalidium sp.,Rubrobacter sp.,Fusarium brachygibbosum,Humicola sp.,Curvularia lunata,Neobacillus drentensis,Rhodoplanes sp.,Solirubrobacter sp.,Target_Crop_Grouped,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético
AZM03Y,3.4741550329926,1.1229797982211038,1.801949338067049,-0.2801321545325287,0.4611387811543309,1.3793806722508264,4.007089146782561,-4.206767883318918,1.412139063300493,-4.206767883318918,-0.2633718425870543,-0.199005938879106,-4.206767883318918,2.1121764698832473,1.806485718448587,0,-1,-1,-1,0,0,0,0,0,0,0
AZM03Z,0.3176939178385495,-3.087659760026605,0.5260890847175934,0.2080625289994425,2.525995748302719,0.3243394077297951,-0.1694833150085983,0.2371167950445628,1.0249808634749786,1.3517488616094862,-0.9882867133928266,1.8003552851672642,-5.42979378276063,0.0006441089949291,1.691094260536647,3,1,1,0,3,2,3,0,1,1,1
AZM040,2.820308424752764,1.667027737564962,1.16697342533594,-0.2703276244903557,-1.8988971951471911,2.364966529199277,-4.60791476879951,2.033722099532385,1.500185417650587,-4.60791476879951,3.340799871124466,-0.5638452399835944,-4.60791476879951,2.081874049149408,2.4062654708970324,2,-1,-1,-1,0,0,0,0,0,0,0
AZM041,1.3191442923702694,-3.0286643203214645,0.0761677459856489,-1.27738562895768,3.281475846182217,0.2484743309220991,0.957325856132868,-3.4724363689055373,1.19035600832651,0.3736920326847435,-1.5221028498855516,1.5595550688093736,-5.388897096118432,-0.0225714132985162,1.913559104608865,3,1,0,0,3,2,3,0,1,1,1
AZM042,1.9899918535477883,-1.8513784086101948,0.4268289407476616,1.279092751464143,0.7421791268688567,0.5623644664179522,-1.3094173335479822,-1.0213946122524629,0.7947798994213872,0.182690401355598,2.619482028710395,1.0067681640946322,-5.527739821263921,0.4850263946985986,1.4613319997584404,0,-1,-1,-1,0,0,0,0,0,0,0
AZM043,2.325691531793979,2.357839515462373,0.9160334503618668,-0.681822532822837,-4.7648482679985795,1.6971310688699266,-0.3761727736924016,2.5472742504963772,0.8610405224560908,-4.7648482679985795,2.9184353627897224,-0.7369399882536174,2.03592541588001,2.1685897969886243,2.2828603318011425,2,-1,-1,-1,0,0,0,0,0,0,0
AZM044,1.8117609303780409,-1.3610774544313071,-0.5297355635131497,-5.421221552742443,2.8477188633297503,0.1458449804220508,0.7179628608729464,-5.421221552742443,1.4768026000364525,-1.168833838109228,-0.8054971996928034,2.9366072122076865,0.5879675881167243,0.5138194871469748,1.988692848703876,1,0,0,0,1,1,1,3,0,1,1
AZM045,-1.3183608844684715,3.735432644371405,1.8437665542542416,-3.7266616097629894,-3.7266616097629894,1.5027533624291247,1.0831195917552014,1.4519205945548157,1.636582680285926,-3.7266616097629894,-3.7266616097629894,2.7866454501502163,2.827028157106951,3.552893919304833,2.9352275852490832,2,-1,-1,-1,0,0,0,0,0,0,0
AZM046,2.5155935211758336,-0.0640364765680855,0.0653476675007609,-0.2333272018255191,1.8794587921027368,0.6477552179636062,1.546554185032699,-1.593780437265918,0.8745863179451634,-5.1541002460960055,0.6208299074751094,2.8298583939095256,0.6818866844483058,0.5414440727648603,1.6518436141038102,0,-1,-1,-1,0,0,0,0,0,0,0
AZM047,1.552865473191029,-2.034755775933015,-0.2916660628711742,0.4682574289128797,1.441646775003553,-0.1729916752681226,-1.2558953814452027,0.255524988547386,0.6975193560520453,0.087764077926361,-0.5607260347616129,1.2215383775967803,0.2383842872078878,-0.273825693159472,1.4136482335182057,3,1,1,0,0,0,0,0,1,1,0
AZM048,2.312136552349697,-0.1207240588358796,0.1520926694930241,1.9465547943083248,1.690020800103809,-0.1265495024653031,-0.2756375631307354,0.0015377098749065,1.353795215144712,0.4606194414310636,-0.4214199958641657,-0.1377417345926704,0.438490284925965,0.1932398248670728,1.378093399130136,3,1,0,0,3,1,3,0,1,1,1
