Model,Accuracy,Balanced Accuracy,F1 Score,Precision,Recall,Time (s)
Ridge Classifier,0.9523809523809523,0.9642857142857143,0.9527139527139526,0.9603174603174603,0.9523809523809523,0.39249110221862793
Extra Trees,0.9523809523809523,0.95,0.9518999518999519,0.9603174603174603,0.9523809523809523,0.34331607818603516
AdaBoost,0.8571428571428571,0.8642857142857143,0.8598901098901098,0.9107142857142857,0.8571428571428571,0.3411750793457031
Gradient Boosting,0.8571428571428571,0.8375,0.8513605442176869,0.8903061224489794,0.8571428571428571,0.4629487991333008
XGBoost,0.8095238095238095,0.8285714285714285,0.8174603174603176,0.8503401360544218,0.8095238095238095,0.5524089336395264
SVC,0.8095238095238095,0.8017857142857143,0.8147323575895006,0.8373015873015872,0.8095238095238095,0.4870419502258301
Random Forest,0.8095238095238095,0.8160714285714286,0.8144659573231003,0.8551587301587302,0.8095238095238095,1.0376830101013184
Bagging,0.8095238095238095,0.8017857142857143,0.8108843537414968,0.8214285714285714,0.8095238095238095,0.39104413986206055
Linear SVC,0.8095238095238095,0.8017857142857143,0.8108843537414968,0.8214285714285714,0.8095238095238095,0.40704774856567383
Decision Tree,0.7619047619047619,0.7517857142857143,0.7664399092970522,0.7908163265306123,0.7619047619047619,0.2877671718597412
Logistic Regression,0.7142857142857143,0.7035714285714285,0.7142857142857142,0.7551020408163266,0.7142857142857143,0.32244110107421875
K-Neighbors,0.6666666666666666,0.6535714285714286,0.6742979242979242,0.7559523809523809,0.6666666666666666,0.4099419116973877
Gaussian NB,0.5714285714285714,0.65,0.45909645909645913,0.4120370370370371,0.5714285714285714,0.38179993629455566
