Code,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético,Target_Crop_Grouped
AZM03Y,-1,-1,-1,0,0,0,0,0,0,0,0
AZM03Z,1,1,0,3,2,3,0,1,1,1,3
AZM040,-1,-1,-1,0,0,0,0,0,0,0,2
AZM041,1,0,0,3,2,3,0,1,1,1,3
AZM042,-1,-1,-1,0,0,0,0,0,0,0,0
AZM043,-1,-1,-1,0,0,0,0,0,0,0,2
AZM044,0,0,0,1,1,1,3,0,1,1,1
AZM045,-1,-1,-1,0,0,0,0,0,0,0,2
AZM046,-1,-1,-1,0,0,0,0,0,0,0,0
AZM047,1,1,0,0,0,0,0,1,1,0,3
AZM048,1,0,0,3,1,3,0,1,1,1,3
AZM049,-1,-1,-1,0,0,0,0,0,0,0,2
AZM04A,-1,-1,-1,0,0,0,0,0,0,0,2
AZM04B,1,0,0,4,2,2,8,0,0,1,1
AZM04C,1,1,-1,2,2,1,1,0,0,1,3
AZM04D,1,0,0,2,2,2,8,0,0,1,1
AZM04E,1,1,-1,0,1,0,0,0,1,1,0
AZM04F,1,0,0,2,2,2,8,0,0,1,1
AZM04G,1,0,0,1,1,0,0,0,1,1,0
AZM04I,0,0,0,3,2,2,8,0,1,1,1
AZM04J,1,1,0,0,0,0,0,1,0,0,3
AZM04K,-1,-1,-1,0,0,0,0,0,0,0,2
AZM04L,-1,1,-1,0,0,0,0,0,0,0,3
AZM04M,1,0,0,2,2,2,8,0,0,1,1
AZM04N,-1,-1,-1,0,0,0,0,0,0,0,0
AZM04O,-1,-1,-1,0,0,0,0,0,0,0,0
AZM04P,0,0,0,1,2,1,4,0,1,1,1
AZM04R,1,0,0,1,1,1,4,0,0,1,1
AZM04S,1,0,0,4,2,2,8,0,0,1,1
AZM04T,1,0,0,1,2,2,8,0,0,1,1
AZM04U,-1,-1,-1,0,0,0,0,0,0,0,2
AZM04V,1,0,0,3,1,3,0,1,1,1,3
AZM04X,1,1,0,0,0,0,0,1,1,0,3
AZM04Y,1,0,0,0,0,0,0,1,1,0,3
AZM04Z,-1,-1,-1,0,0,0,0,0,0,0,2
AZM051,-1,-1,-1,0,0,0,0,0,0,0,2
AZM052,-1,-1,-1,0,0,0,0,0,0,0,2
AZM053,-1,-1,-1,0,0,0,0,0,0,0,0
AZM054,-1,-1,-1,0,0,0,0,0,0,0,0
AZM055,-1,-1,-1,0,0,0,0,0,0,0,2
AZM056,1,1,0,0,0,0,0,1,1,0,3
AZM057,1,0,-1,1,2,1,1,0,0,1,0
AZM058,0,0,0,1,1,1,2,0,1,1,1
AZM059,1,0,0,1,0,2,6,0,1,1,1
AZM05A,-1,-1,-1,0,0,0,0,0,0,0,2
AZM05B,1,0,-1,2,2,1,1,0,1,1,0
AZM05C,-1,-1,-1,0,0,0,0,0,0,0,2
AZM05E,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05F,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05G,1,0,0,3,2,3,0,1,1,1,3
AZM05H,1,1,0,0,0,0,0,1,1,0,3
AZM05I,1,0,-1,2,2,1,1,0,1,1,0
AZM05J,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05K,1,0,0,3,2,3,0,1,1,1,3
AZM05L,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05M,-1,-1,-1,0,0,0,0,0,0,0,2
AZM05N,0,0,0,1,1,1,2,0,1,1,1
AZM05O,1,0,0,1,1,0,0,0,1,1,0
AZM05P,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05Q,0,0,-1,0,1,0,0,0,1,1,0
AZM05R,1,1,0,0,0,0,0,1,1,0,3
AZM05S,1,0,0,3,1,3,0,1,1,1,3
AZM05T,1,0,0,1,1,1,4,0,0,1,1
AZM05U,0,0,0,1,0,2,8,0,1,1,1
AZM05V,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05W,-1,-1,-1,0,0,0,0,0,0,0,0
AZM05X,1,0,0,3,2,3,0,1,1,1,3
