iter	Passed	Remaining
0	9	9318
1	12	6105
2	14	4963
3	18	4538
4	21	4212
5	23	3924
6	26	3718
7	28	3573
8	31	3457
9	34	3455
10	37	3371
11	40	3314
12	42	3253
13	45	3202
14	47	3142
15	50	3131
16	53	3096
17	56	3066
18	58	3036
19	63	3109
20	66	3079
21	68	3059
22	72	3058
23	74	3047
24	77	3021
25	80	2997
26	82	2985
27	85	2979
28	88	2958
29	89	2906
30	92	2894
31	95	2900
32	99	2903
33	102	2898
34	105	2908
35	108	2895
36	110	2883
37	113	2885
38	117	2886
39	120	2882
40	122	2870
41	125	2860
42	128	2853
43	130	2843
44	133	2842
45	137	2842
46	139	2835
47	142	2821
48	145	2822
49	148	2816
50	151	2816
51	155	2839
52	158	2828
53	160	2817
54	163	2805
55	166	2804
56	169	2801
57	172	2794
58	174	2782
59	177	2775
60	180	2771
61	181	2751
62	185	2752
63	187	2747
64	190	2741
65	193	2736
66	196	2735
67	200	2744
68	203	2746
69	206	2737
70	208	2732
71	211	2726
72	214	2718
73	216	2712
74	219	2705
75	220	2683
76	223	2675
77	223	2646
78	226	2641
79	229	2635
80	231	2630
81	234	2626
82	237	2620
83	239	2614
84	242	2608
85	244	2602
86	248	2604
87	251	2606
88	253	2599
89	256	2593
90	259	2588
91	261	2582
92	265	2589
93	268	2591
94	271	2587
95	274	2584
96	277	2580
97	279	2576
98	283	2575
99	285	2572
100	288	2568
101	291	2562
102	292	2547
103	295	2543
104	298	2540
105	301	2538
106	303	2533
107	305	2527
108	307	2511
109	309	2507
110	312	2503
111	316	2505
112	318	2502
113	321	2496
114	323	2491
115	326	2487
116	329	2485
117	332	2484
118	335	2480
119	337	2475
120	338	2462
121	341	2458
122	344	2454
123	347	2455
124	350	2453
125	353	2449
126	355	2445
127	358	2441
128	361	2438
129	364	2436
130	367	2434
131	369	2430
132	372	2426
133	374	2422
134	377	2419
135	379	2408
136	382	2407
137	384	2403
138	387	2399
139	389	2395
140	392	2391
141	395	2389
142	398	2388
143	400	2383
144	403	2379
145	406	2376
146	408	2371
147	411	2367
148	414	2365
149	417	2363
150	419	2359
151	422	2355
152	424	2352
153	427	2348
154	430	2345
155	433	2345
156	436	2344
157	439	2342
158	442	2339
159	445	2338
160	448	2337
161	453	2343
162	457	2350
163	461	2352
164	464	2350
165	467	2347
166	469	2343
167	472	2338
168	474	2335
169	478	2335
170	480	2331
171	483	2328
172	486	2326
173	489	2323
174	492	2319
175	495	2318
176	497	2315
177	500	2311
178	503	2308
179	506	2305
180	508	2302
181	511	2300
182	514	2296
183	516	2292
184	519	2288
