Code,Sample_Name,Collection_Date,Plot_Name,Crop,Variety,Density_Plants_Hectare,Planting_Year,Previous_Year_Crop,Irrigation_Usage,Irrigation_Type,Soil_Type,Organic_Practices,Biodynamic_Methods,Product_1_Type,Product_1_Name,Product_1_Application_Date,Product_2_Type,Product_2_Name,Product_2_Application_Date,Product_3_Type,Product_3_Name,Product_3_Application_Date,sample_simple,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag
AZM03Y,H3-N 2 Rice,2024-01-30,H3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM03Z,E1 2 Beans,2024-01-30,E1,Frijol,Mas de 100,190000.0,2023.0,Frijol,Regular,Superficie,Arcilloso,Si,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",349,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",342,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",333,Beans,0,0,0,0,0
AZM040,P3 5 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,0,1,1,1
AZM041,L1-N 1 Beans,2024-01-29,L1-N,Frijol,Mas de 100,190000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Boro, Kelatex Mg y Zinc, Cabtrac, 18-45-0 ",-3,Fertilizante sintético,"Boro, Kelatex Mg y Zinc, Cabtrac, 0-32-43 ",-8,Fertilizante sintético,"Boro, Kelatex Mg y Zinc, Fulviplex, 0-32-43 ",-16,Beans,0,0,0,0,0
AZM042,I1-S 3 Rice,2024-01-30,I1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM043,P3 2 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,0,1,1,1
AZM044,N1-N 1 Cassava,2024-01-29,N1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc",421,-1,Unknown,-1,-1,Unknown,-1,Cassava,0,0,0,1,1
AZM045,N3 F 1 Forrajes,2024-01-29,N3 Forrajes,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM046,M3-N 2 Rice,2024-01-29,M3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM047,O1-N 1 Beans,2024-01-29,O1-N,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM048,H3 3 Beans,2024-01-30,H3,Frijol,Más de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",740,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 0-32-43",733,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",727,Beans,0,0,0,0,0
AZM049,N1-N 4 Forrajes,2024-01-29,N1-N,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04A,N3 F 3 Forrajes,2024-01-29,N3 Forrajes,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04B,S1-N 2 Cassava,2024-01-30,S1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco,No,No,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",637,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",608,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04C,P1-N 1 Michael Clitoria,2024-01-30,P1-N,Clitoria,9336 & 17768,160000.0,2023.0,Crotalaria,Regular,Aspersor,Franco-arcilloso,Si,0,Fertilizante sintético,DAP,19,Fertilizante sintético,KCl,19,Fertilizante sintético,Agrimins,19,Clitoria,1,0,0,0,0
AZM04D,R1 2 Cassava,2024-01-30,R1,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Arcillo-limoso,No,No,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",672,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",558,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04E,I2-N 1 FLAR,2024-01-30,I2-N,Arroz,Mejoramiento,133000.0,2023.0,Caña De Azúcar,Regular,Superficie,Franco-arcilloso,Si,0,Fertilizante sintético,"Urea, KCl y menores",80,-1,Unknown,-1,-1,Unknown,-1,FLAR,1,0,0,1,1
AZM04F,R1 1 Cassava,2024-01-30,R1,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Arcillo-limoso,No,No,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",672,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",193,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04G,Q2-S 1 Caña,2024-01-30,Q2-S,Caña de azúcar,CC011940,570.0,2021.0,Caña De Azúcar,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,NPK,321,Herbicida,"Diuron, Ametrina y Tordon",306,-1,Unknown,-1,Caña,0,0,0,0,1
AZM04H,N3 F 4 Forrajes,2024-01-29,N3 Forrajes,Suelo Desnudo,Suelo desnudo ,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04I,N3 1 Cassava,2024-01-29,N3,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Semi-regular,Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"15-15-15, DAP, Sulfato de amonio, Sulfato de hierro, Sulfato de manganeso, Sulfato de Zinc",187,Fertilizante sintético,"15-15-15, Sulfato de amonio, Sulfato de hierro, Sulfato de manganeso, Sulfato de Zinc",166,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04J,O1-S 3 Beans,2024-01-29,O1-S,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Otro,Arcilloso,Si,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM04K,O4 2 Forrajes,2024-01-29,O4,Forrajes,Urochloa humidicola cv. Tully (CIAT 679) + Canavalia,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04L,H2-N 1 FLAR,2024-01-30,H2-N,Crotalaria,Crotalaria Juncea,133000.0,2023.0,Crotalaria,Raramente,Aspersor,Franco-arcilloso,Si,0,Otras practicas,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,FLAR,1,1,0,1,1
AZM04M,O3-S 1 Cassava,2024-01-30,O3-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"15-15-15, Urea, Sulfato de amonio, Sulfato de Zinc, Sulfato de Hierro, Sulfato de manganeso",385,Fertilizante sintético,"15-15-15, Sulfato de amonio, Sulfato de Zinc, Sulfato de Hierro, Sulfato de manganeso",349,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04N,N1-N 5 Forrajes,2024-01-29,N1-N,Maíz,Maíz biofortificado (SGBIOH2),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,0,1,1,1
AZM04O,H1-S 3 Rice,2024-01-30,H1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM04P,N1-N 2 Cassava,2024-01-29,N1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"15-15-15, Sulfato de amonio, KCL, Sulfato de hierro, Sulfato de Zinc, Sulfato de Manganeso",96,-1,Unknown,-1,-1,Unknown,-1,Cassava,0,0,0,1,1
