,Code,Sample_Name,Collection_Date,Plot_Name,Crop,Variety,Density_Plants_Hectare,Planting_Year,Previous_Year_Crop,Irrigation_Usage,Irrigation_Type,Soil_Type,Organic_Practices,Biodynamic_Methods,Product_1_Type,Product_1_Name,Product_1_Application_Date,Product_2_Type,Product_2_Name,Product_2_Application_Date,Product_3_Type,Product_3_Name,Product_3_Application_Date,sample_simple,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag
0,AZM03Y,H3-N 2 Rice,2024-01-30,H3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
1,AZM03Z,E1 2 Beans,2024-01-30,E1,Frijol,Mas de 100,190000.0,2023.0,Frijol,Regular,Superficie,Arcilloso,Si,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",2023-02-15,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",2023-02-22,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",2023-03-03,Beans,0,0,0,0,0
2,AZM040,P3 5 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,0,1,1,1
3,AZM041,L1-N 1 Beans,2024-01-29,L1-N,Frijol,Mas de 100,190000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Boro, Kelatex Mg y Zinc, Cabtrac, 18-45-0 ",2024-02-01,Fertilizante sintético,"Boro, Kelatex Mg y Zinc, Cabtrac, 0-32-43 ",2024-02-06,Fertilizante sintético,"Boro, Kelatex Mg y Zinc, Fulviplex, 0-32-43 ",2024-02-14,Beans,0,0,0,0,0
4,AZM042,I1-S 3 Rice,2024-01-30,I1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
5,AZM043,P3 2 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,0,1,1,1
6,AZM044,N1-N 1 Cassava,2024-01-29,N1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc",2022-12-04,-1,Unknown,,-1,Unknown,,Cassava,0,0,0,1,1
7,AZM045,N3 F 1 Forrajes,2024-01-29,N3 Forrajes,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
8,AZM046,M3-N 2 Rice,2024-01-29,M3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
9,AZM047,O1-N 1 Beans,2024-01-29,O1-N,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
