Microbe_Name
Season
treatment
sampling time
Nitrosocosmicus oleophilus
Nitrosocosmicus sp.
Nitrososphaera sp.
Methanobacterium oryzae
Methanobacterium sp.
Methanocella sp.
Methanospirillum sp.
Methanoperedens sp.
Methanosaeta sp.
Methanosarcina mazei
Methanosarcina sp.
Methanomassiliicoccus sp.
Koribacter sp.
Bryobacter sp.
Paludibaculum sp.
Solibacter sp.
Aridibacter sp.
Blastocatella sp.
Stenotrophobacter sp.
Arenimicrobium luteum
Holophaga sp.
Luteitalea sp.
Vicinamibacter sp.
Iamia sp.
Ilumatobacter sp.
Mycobacterium brisbanense
Mycobacterium elephantis
Rhodococcus sp.
Blastococcus sp.
Geodermatophilus sp.
Geodermatophilus tzadiensis
Glycomyces algeriensis
Quadrisphaera sp.
Intrasporangium sp.
Pedococcus dokdonensis
Phycicoccus elongatus
Agromyces sp.
Agromyces ulmi
Microbacterium paraoxydans
Kocuria rosea
Pseudarthrobacter oxydans
Sinomonas sp.
Asanoa sp.
Catellatospora bangladeshensis
Catellatospora sp.
Dactylosporangium sp.
Hamadaea sp.
Longispora sp.
Luedemannella sp.
Micromonospora coxensis
Micromonospora sp.
Phytohabitans sp.
Plantactinospora mayteni
Plantactinospora sp.
Polymorphospora rubra
Virgisporangium sp.
Micromonospora phaseoli
Marmoricola sp.
Nocardioides kandeliae
Nocardioides sp.
Haloactinopolyspora sp.
Microlunatus sp.
Actinomycetospora sp.
Crossiella sp.
Pseudonocardia hispaniensis
Pseudonocardia sp.
Streptomyces avermitilis
Streptomyces haliclonae
Streptomyces scabiei
Streptomyces sp.
Nonomuraea rhodomycinica
Rubrobacter sp.
Gaiella sp.
Conexibacter sp.
Parviterribacter sp.
Solirubrobacter soli
Solirubrobacter sp.
Chthonomonas sp.
Bacteroides graminisolvens
Roseimarinus sp.
Acetobacteroides hydrogenigenes
Acetobacteroides sp.
Chitinophaga sp.
Dinghuibacter sp.
Ferruginibacter sp.
Flavisolibacter ginsengisoli
Flavisolibacter sp.
Flavitalea sp.
Lacibacter cauensis
Lacibacter sp.
Niastella sp.
Parasegetibacter terrae
Terrimonas sp.
Haliscomenobacter sp.
Algoriphagus alkaliphilus
Mariniradius saccharolyticus
Adhaeribacter sp.
Chryseolinea sp.
Hassallia sp.
Ohtaekwangia sp.
Fluviicola sp.
Flavobacterium sp.
Bacteriovorax sp.
Bdellovibrio sp.
Sulfuricurvum kujiense
Sulfuricurvum sp.
Sulfurospirillum sp.
Anaerolinea sp.
Leptolinea sp.
Longilinea sp.
Litorilinea sp.
Chloronema sp.
Dehalococcoides sp.
Anabaena azotica
Tolypothrix sp.
Desulfobacca sp.
Desulfatiglans sp.
Desulfatitalea sp.
Desulfobulbus sp.
Desulfocapsa sp.
Desulfomicrobium salsuginis
Desulfovibrio sp.
Desulfuromonas carbonis
Desulfuromonas sp.
Desulfuromonas michiganensis
Geoalkalibacter sp.
Geothermobacter sp.
Pelobacter carbinolicus
Syntrophotalea sp.
Geobacter bemidjiensis
Geobacter metallireducens
Geobacter sp.
Trichlorobacter sp.
Desulfovirga sp.
Syntrophobacter sp.
Entotheonella sp.
Tumebacillus sp.
Bacillus cereus
Bacillus circulans
Bacillus funiculus
Bacillus halmapalus
Bacillus halotolerans
Bacillus korlensis
Bacillus longiquaesitum
Bacillus megaterium
Bacillus oceanisediminis
Bacillus pocheonensis
Bacillus sp.
Bacillus subterraneus
Cytobacillus firmus
Fictibacillus nanhaiensis
Metabacillus indicus
Metabacillus niabensis
Neobacillus niacini
Peribacillus asahii
Domibacillus indicus
Ammoniphilus sp.
Paenibacillus cellulosilyticus
Paenibacillus ehimensis
Paenibacillus sp.
Fonticella sp.
Clostridium polyendosporum
Clostridium beijerinckii
Clostridium magnum
Clostridium sp.
Clostridium tunisiense
Lutispora sp.
Anaerosporobacter sp.
Herbinix sp.
Mobilitalea sp.
Anaerobacterium sp.
