Microbe_Name
Season
treatment
sampling time
Nitrosocosmicus sp.
Nitrososphaera sp.
Bryobacter sp.
Solibacter sp.
Blastocatella sp.
Luteitalea sp.
Ilumatobacter sp.
Luedemannella sp.
Micromonospora sp.
Nocardioides sp.
Haloactinopolyspora sp.
Crossiella sp.
Rubrobacter sp.
Gaiella sp.
Solirubrobacter sp.
Geoalkalibacter sp.
Neobacillus niacini
Clostridium sp.
Anaeromyxobacter sp.
Haliangium sp.
Nitrospira japonica
Nitrospira sp.
Gemmata sp.
Pirellula sp.
Defluviicoccus sp.
Reyranella sp.
Microvirga sp.
Hyphomicrobium sp.
Pedomicrobium sp.
Rhodoplanes sp.
Sphingomonas sp.
Aquabacterium limnoticum
Hydrogenophaga sp.
Ramlibacter ginsenosidimutans
Azoarcus tolulyticus
Azospira restricta
Azovibrio sp.
Azotobacter chroococcum
Azotobacter tropicalis
Pseudomonas peli
Povalibacter uvarum
Steroidobacter sp.
Treponema sp.
